mars-94;593;9539
avr-94;665;9502
mai-94;759;9440
juin-94;756;9324
juil-94;867;9143
août-94;821;9022
sept-94;791;8976
oct-94;838;9007
nov-94;805;9057
déc-94;885;9122
janv-95;733;9126
févr-95;610;9124
mars-95;697;9228
avr-95;702;9265
mai-95;708;9214
juin-95;796;9254
juil-95;901;9289
août-95;801;9268
sept-95;709;9186
oct-95;804;9152
nov-95;750;9097
déc-95;780;8992
janv-96;669;8928
févr-96;572;8890
mars-96;657;8850
avr-96;601;8749
mai-96;666;8707
juin-96;783;8693
juil-96;793;8585
août-96;812;8597
sept-96;750;8639
oct-96;789;8624
nov-96;807;8680
déc-96;738;8638
janv-97;515;8484
févr-97;516;8428
mars-97;678;8448
avr-97;652;8500
mai-97;727;8561
juin-97;752;8530
juil-97;775;8511
août-97;839;8538
sept-97;762;8550
oct-97;818;8579
nov-97;786;8557
déc-97;721;8540
janv-98;704;8729
févr-98;593;8806
mars-98;653;8782
avr-98;685;8815
mai-98;735;8824
juin-98;731;8803
juil-98;901;8929
août-98;818;8908
sept-98;746;8892
oct-98;850;8924
nov-98;801;8939
déc-98;801;9019
janv-99;714;9029
févr-99;559;8995
mars-99;594;8936
avr-99;642;8893
mai-99;712;8869
juin-99;714;8852
juil-99;815;8766
août-99;802;8750
sept-99;775;8779
oct-99;739;8667
nov-99;711;8578
déc-99;806;8583
janv-00;634;8503
févr-00;631;8574
mars-00;602;8582
avr-00;709;8648
mai-00;636;8572
juin-00;690;8548
juil-00;766;8500
août-00;659;8356
sept-00;681;8262
oct-00;747;8271
nov-00;646;8206
déc-00;771;8170
janv-01;637;8174
févr-01;554;8097
mars-01;637;8132
avr-01;620;8043
mai-01;591;7998
juin-01;753;8061
juil-01;805;8100
août-01;688;8130
sept-01;724;8173
oct-01;746;8171
nov-01;690;8215
déc-01;808;8253
janv-02;633;8248
févr-02;607;8302
mars-02;645;8309
avr-02;616;8305
mai-02;654;8368
juin-02;675;8290
juil-02;707;8192
août-02;678;8181
sept-02;642;8100
oct-02;712;8066
nov-02;611;7988
déc-02;562;7742
janv-03;420;7529
févr-03;388;7310
mars-03;480;7145
avr-03;441;6971
mai-03;555;6872
juin-03;589;6786
juil-03;609;6689
août-03;599;6610
sept-03;553;6520
oct-03;545;6353
nov-03;448;6190
déc-03;499;6126
janv-04;432;6138
févr-04;354;6104
mars-04;373;5997
avr-04;393;5949
mai-04;500;5894
juin-04;471;5776
juil-04;566;5732
août-04;539;5672
sept-04;527;5646
oct-04;540;5641
nov-04;429;5622
déc-04;469;5592
janv-05;405;5572
févr-05;345;5557
mars-05;396;5576
avr-05;370;5547
mai-05;450;5504
juin-05;480;5499
juil-05;608;5538
août-05;478;5471
sept-05;441;5383
oct-05;472;5328
nov-05;413;5333
déc-05;460;5335
janv-06;346;5259
févr-06;266;5180
mars-06;314;5098
avr-06;369;5097
mai-06;382;5029
juin-06;392;4941
juil-06;471;4804
août-06;420;4746
sept-06;425;4730
oct-06;439;4697
nov-06;405;4689
déc-06;480;4709
janv-07;395;4758
févr-07;286;4778
mars-07;318;4782
avr-07;411;4824
mai-07;346;4788
juin-07;385;4781
juil-07;478;4788
août-07;399;4767
sept-07;428;4770
oct-07;368;4699
nov-07;396;4690
déc-07;410;4620
janv-08;327;4552
févr-08;292;4558
mars-08;362;4602
avr-08;312;4503
mai-08;399;4556
juin-08;306;4477
juil-08;416;4415
août-08;392;4408
sept-08;334;4314
oct-08;440;4386
nov-08;333;4323
déc-08;362;4275
janv-09;288;4236
févr-09;299;4243
mars-09;294;4175
avr-09;327;4190
mai-09;386;4177
juin-09;403;4274
juil-09;396;4254
août-09;412;4274
sept-09;384;4324
oct-09;429;4313
nov-09;349;4329
déc-09;306;4273
janv-10;273;4258
févr-10;254;4213
mars-10;300;4219
avr-10;296;4188
mai-10;336;4138
juin-10;329;4064
juil-10;453;4121
août-10;383;4092
sept-10;357;4065
oct-10;377;4013
nov-10;339;4003
déc-10;295;3992
janv-11;324;4043
févr-11;269;4058
mars-11;301;4059
avr-11;360;4123
mai-11;322;4109
juin-11;336;4116
juil-11;354;4017
août-11;370;4004
sept-11;347;3994
oct-11;351;3968
nov-11;296;3925
déc-11;333;3963
janv-12;297;3936
févr-12;204;3871
mars-12;276;3846
avr-12;277;3763
mai-12;321;3762
juin-12;322;3748
juil-12;366;3760
août-12;339;3729
sept-12;341;3723
oct-12;299;3671
nov-12;292;3667
déc-12;319;3653
janv-13;243;3599
févr-13;221;3616
mars-13;200;3540
avr-13;236;3499
mai-13;224;3402
juin-13;293;3373
juil-13;344;3351
août-13;322;3334
sept-13;312;3305
oct-13;308;3314
nov-13;252;3274
déc-13;313;3268
janv-14;235;3260
févr-14;225;3264
mars-14;261;3325
avr-14;254;3343
mai-14;260;3379
juin-14;311;3397
juil-14;302;3355
août-14;306;3339
sept-14;317;3344
oct-14;347;3383
nov-14;280;3411
déc-14;286;3384
janv-15;262;3411
févr-15;235;3421
mars-15;219;3379
avr-15;258;3383
mai-15;267;3390
juin-15;299;3378
